sentence,label
Openai-ийн гол өрсөлдөгч anthropic стартапад хөрөнгө оруулалт гэдгийг тодотгосон,OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER PAST
Тэд цаг болсон,OTHER OTHER PAST
Тэр хотод очсон,OTHER OTHER PAST
Тэр хотод очсон,OTHER OTHER PAST
Тэр ажлаа амжилттай явдаг гэдгийг тодотгосон,OTHER OTHER OTHER OTHER OTHER PAST
Сүүлийн хөрөнгө оруулалт гэдгийг тодотгосон,OTHER OTHER OTHER OTHER PAST
Тэр шинэ зам сонгосон,OTHER OTHER OTHER PAST
Тэд тэмцээнд оролцсон,OTHER OTHER PAST
Тэр хотод очсон,OTHER OTHER PAST
Итгэл олсон,OTHER PAST
Бид зорилгоо тодорхойлсон,OTHER OTHER PAST
Тэр алдаагаа ойлгосон,OTHER OTHER PAST
Openai-ийн гол өрсөлдөгч anthropic стартапад хөрөнгө оруулалт гэдгийг тодотгосон,OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER PAST
Тэд бидний чипүүдийг ашиглахаар болсон,OTHER OTHER OTHER OTHER PAST
Нар сар хоёр тэрбум долларын хөрөнгө оруулалт гэдгийг ойлгосон,OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER PAST
Тэр гэртээ орсон,OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Бид хамт хоол өгсөн,OTHER OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Хөдөө амьтдын амьдралд нөлөөлсөн,OTHER OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Хөдөө амьтдын амьдралд нөлөөлсөн,OTHER OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Тэр шинэ төсөл дээр хоол өгсөн,OTHER OTHER OTHER OTHER OTHER PAST
Хөдөө амьтдын амьдралд нөлөөлсөн,OTHER OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Тэд хоол өгсөн,OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Тэрээр хоол өгсөн,OTHER OTHER PAST
Хөдөө амьтдын амьдралд нөлөөлсөн,OTHER OTHER OTHER PAST
Ноён хүнд хоол өгсөн,OTHER OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Сайн хүмүүс амьдралд нөлөөлсөн,OTHER OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Хайрлах тухай бодол төрсөн,OTHER OTHER OTHER PAST
Сайн хүмүүс амьдралд нөлөөлсөн,OTHER OTHER OTHER PAST
Хөдөө амьтдын амьдралд нөлөөлсөн,OTHER OTHER OTHER PAST
Хөдөө амьтдын амьдралд нөлөөлсөн,OTHER OTHER OTHER PAST
Хөдөө амьтдын амьдралд нөлөөлсөн,OTHER OTHER OTHER PAST
Би хоол өгсөн,OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Ноён хүнд хоол өгсөн,OTHER OTHER OTHER PAST
Тэр шалгалт өгсөн,OTHER OTHER PAST
Цэгцлэх цаг баримталдаг,OTHER OTHER HABITUAL
Тэд гадаа алхдаг,OTHER OTHER HABITUAL
Судалгаа бодит байдалд тулгуурладаг,OTHER OTHER OTHER HABITUAL
Цаг хугацаа шаарддаг,OTHER OTHER HABITUAL
Амжилт хөдөлмөрөөс шалтгаалдаг,OTHER OTHER HABITUAL
Би дурангаа бариад суучихдаг,OTHER OTHER OTHER HABITUAL
Боб ресторан ажиллуулдаг,OTHER OTHER HABITUAL
Би шинэ зүйл сурдаг,OTHER OTHER OTHER HABITUAL
Боб ресторан ажиллуулдаг,OTHER OTHER HABITUAL
Тэр цонхоор гадагш хардаг,OTHER OTHER OTHER HABITUAL
Бид хамт хичээл заадаг,OTHER OTHER OTHER HABITUAL
Тэр ажлаа сайн ярьдаг,OTHER OTHER OTHER HABITUAL
Тэд гадаа суудаг,OTHER OTHER HABITUAL
Би шинэ санаа гаргадаг,OTHER OTHER OTHER HABITUAL
Тэр их нөлөөтэй байдаг,OTHER OTHER OTHER HABITUAL
Би илүү сайн ярьдаг,OTHER OTHER OTHER HABITUAL
Тэр утсаар ярьдаг,OTHER OTHER HABITUAL
Мэдлэг туршлагаар баяждаг,OTHER OTHER HABITUAL
Тэр цонхоор гадагш хардаг,OTHER OTHER OTHER HABITUAL
Судалгаа шинэ санаа гаргадаг,OTHER OTHER OTHER HABITUAL
Тэр сонирхолтой зүйл туршдаг,OTHER OTHER OTHER HABITUAL
Тэд цаг баримталдаг,OTHER OTHER HABITUAL
Тэд хөгжим сонсож амардаг,OTHER OTHER OTHER HABITUAL
Ирээдүй гэрэлтэй байдаг,OTHER OTHER HABITUAL
Тунгаах миний тархийг тэлж байгаа мэт санагддаг,OTHER OTHER OTHER OTHER OTHER OTHER HABITUAL
Тэр шинэ ном уншдаг,OTHER OTHER OTHER HABITUAL
Багийн ажиллагаа үр дүнг сайжруулдаг,OTHER OTHER OTHER OTHER HABITUAL
Тэд ажилдаа явдаг,OTHER OTHER HABITUAL
Тэд найзуудтайгаа уулздаг,OTHER OTHER HABITUAL
Мэдлэг туршлагаар баяждаг,OTHER OTHER HABITUAL
Бид хамт хичээл дээр ажилладаг,OTHER OTHER OTHER OTHER HABITUAL
Сурагчид ангидаа сууж хичээлээ давтдаг,OTHER OTHER OTHER OTHER HABITUAL
Сайн хүмүүс амьдралд амжилттай явдаг,OTHER OTHER OTHER OTHER HABITUAL
Тэр зураг зурдаг,OTHER OTHER HABITUAL
Тэр цай уудаг,OTHER OTHER HABITUAL
Би зураг авдаг,OTHER OTHER HABITUAL
Би итгэл үнэмшилтэй хүмүүс нэг дов толгой дээр ажилладаг,OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER HABITUAL
Би итгэлтэй байдаг,OTHER OTHER HABITUAL
Сургуулийн судлаач эрдэмтэд байдаг,OTHER OTHER OTHER HABITUAL
Сайн хүмүүс нэг дор цугларч бясалгадаг,OTHER OTHER OTHER OTHER OTHER HABITUAL
Тэр асуудлыг шийддэг,OTHER OTHER HABITUAL
Боловсрол боломжийг нээдэг,OTHER OTHER HABITUAL
Бид олон ном бичдэг,OTHER OTHER OTHER HABITUAL
Тэрээр ажилдаа ирдэг,OTHER OTHER HABITUAL
Тэд хичээлээ хийдэг,OTHER OTHER HABITUAL
Аз ирдэг гэдэгт итгэдэг,OTHER OTHER OTHER HABITUAL
Цаг хугацаа хурдан бичдэг,OTHER OTHER OTHER HABITUAL
Бид кино үздэг,OTHER OTHER HABITUAL
Аз ирдэг,OTHER HABITUAL
Тэд кино үздэг,OTHER OTHER HABITUAL
Бид амжилтад хүргэдэг,OTHER OTHER HABITUAL
Би дасгал хийдэг,OTHER OTHER HABITUAL
Бид хамт хичээл хийдэг,OTHER OTHER OTHER HABITUAL
Тэд амжилтад хүрдэг,OTHER OTHER HABITUAL
Тэд цаг хугацаа хурдан бичдэг,OTHER OTHER OTHER OTHER HABITUAL
Бид хамт хоол иддэг,OTHER OTHER OTHER HABITUAL
Харилцаа ойлголцлыг нэмэгдүүлдэг,OTHER OTHER HABITUAL
Тэр ажилдаа ирдэг,OTHER OTHER HABITUAL
Тэр олон асуулт их инээдэг,OTHER OTHER OTHER OTHER HABITUAL
Харилцаа ойлголцлыг нэмэгдүүлдэг,OTHER OTHER HABITUAL
Би гэртэй ирдэг гэдэгт итгэдэг,OTHER OTHER OTHER OTHER HABITUAL
Аз ирдэг,OTHER HABITUAL
Энэ асуудлыг шийддэг,OTHER OTHER HABITUAL
Тэр зорилгодоо хүрэхийг хүсдэг,OTHER OTHER OTHER HABITUAL
Энэ асуудлыг шийддэг,OTHER OTHER HABITUAL
Тэр өдөр бүр иддэг,OTHER OTHER OTHER HABITUAL
Би шинэ санаа хөгжлийг дэмждэг,OTHER OTHER OTHER OTHER HABITUAL
Нийгэм хувь хүнийг төлөвшүүлдэг,OTHER OTHER OTHER HABITUAL
Харилцаа ойлголтыг гүнзгийрүүлдэг,OTHER OTHER HABITUAL
Тэд амжилтад хүргэдэг,OTHER OTHER HABITUAL
Би хоол иддэг,OTHER OTHER HABITUAL
Тэр шинэ санаа хөгжлийг дэмждэг,OTHER OTHER OTHER OTHER HABITUAL
Хичээл зүтгэл амжилтад хүргэдэг,OTHER OTHER OTHER HABITUAL
Би дасгал хийдэг,OTHER OTHER HABITUAL
Сургалт хүний чадварыг хөгжүүлдэг,OTHER OTHER OTHER HABITUAL
Их инээдэг,OTHER HABITUAL
Бид кино үздэг,OTHER OTHER HABITUAL
Бусдыг ойлгох чадварт чухал нөлөө үзүүлдэг,OTHER OTHER OTHER OTHER OTHER HABITUAL
"Тоо, статистик ч үүнийг гэрчилдэг",OTHER OTHER OTHER OTHER HABITUAL
Би илүү сайн гүйцэтгэдэг,OTHER OTHER OTHER HABITUAL
Хүүхдүүд гадаа тоглодог,OTHER OTHER HABITUAL
Бид зорилгоо тодорхойлдог,OTHER OTHER HABITUAL
Би хөгжим сонсдог,OTHER OTHER HABITUAL
Тэд зорилгоо тодорхойлдог,OTHER OTHER HABITUAL
Тэр шинэ мэдлэг бий болгодог,OTHER OTHER OTHER OTHER HABITUAL
Суралцах хүсэл ирээдүйг тодорхойлдог,OTHER OTHER OTHER HABITUAL
Харилцаа итгэл бий болгодог,OTHER OTHER OTHER HABITUAL
Суралцах хүсэл ирээдүйг тодорхойлдог,OTHER OTHER OTHER HABITUAL
Бид зорилгоо тодорхойлдог,OTHER OTHER HABITUAL
Харилцаа итгэл бий болгодог,OTHER OTHER OTHER HABITUAL
Шинэ санаа боддог,OTHER OTHER HABITUAL
Би өглөө эрт босдог,OTHER OTHER OTHER HABITUAL
Тэр хурдан ойлгодог,OTHER OTHER HABITUAL
Би хөгжим сонсдог,OTHER OTHER HABITUAL
Би хөгжим сонсдог,OTHER OTHER HABITUAL
Би тоглоом тоголдог,OTHER OTHER HABITUAL
Тэр анхааралтай сонсдог,OTHER OTHER HABITUAL
Би шинэ мэдлэг бий болгодог,OTHER OTHER OTHER OTHER HABITUAL
Судалгаа шинэ санаа боддог,OTHER OTHER OTHER HABITUAL
Би илүү сайн ойлгодог,OTHER OTHER OTHER HABITUAL
Би дэлгүүр ордог,OTHER OTHER HABITUAL
Судалгаа шинэ мэдлэг бий болгодог,OTHER OTHER OTHER OTHER HABITUAL
Хамгийн их анхааралтай сонсдог,OTHER OTHER OTHER HABITUAL
Би шинэ мэдлэг бий болгодог,OTHER OTHER OTHER OTHER HABITUAL
Би шинэ санаа боддог,OTHER OTHER OTHER HABITUAL
Би илүү сайн ойлгодог,OTHER OTHER OTHER HABITUAL
Би хөгжим сонсдог,OTHER OTHER HABITUAL
Суралцах хүсэл ирээдүйг тодорхойлдог,OTHER OTHER OTHER HABITUAL
Би шинэ санаа боддог,OTHER OTHER OTHER HABITUAL
Тэд хөгжим сонсдог,OTHER OTHER HABITUAL
Би өдөр бүр очдог,OTHER OTHER OTHER HABITUAL
Би маргааш эрт босдог,OTHER OTHER OTHER HABITUAL
Тэр хөгжим сонсдог,OTHER OTHER HABITUAL
Би хөгжим сонсдог,OTHER OTHER HABITUAL
Тэд шинэ санаа боддог,OTHER OTHER OTHER HABITUAL
Бид зорилгоо тодорхойлдог,OTHER OTHER HABITUAL
Би шинэ санаа боддог,OTHER OTHER OTHER HABITUAL
Тэр хурдан ойлгодог,OTHER OTHER HABITUAL
Туршлага амьдралыг хялбар болгодог,OTHER OTHER OTHER HABITUAL
Тэр хөгжим тоглодог,OTHER OTHER HABITUAL
Мэдээлэл шийдвэрт нөлөөлдөг,OTHER OTHER HABITUAL
Бид хамтдаа хөгждөг,OTHER OTHER HABITUAL
Хүмүүсийн зан төлөв нийгэмд нөлөөлдөг,OTHER OTHER OTHER OTHER HABITUAL
Би тэмдэглэл хөтөлдөг,OTHER OTHER HABITUAL
Мэдээлэл шийдвэрт нөлөөлдөг,OTHER OTHER HABITUAL
Мэдээлэл шийдвэрт нөлөөлдөг,OTHER OTHER HABITUAL
Би тэмдэглэл хөтөлдөг,OTHER OTHER HABITUAL
Мэдээлэл шийдвэрт нөлөөлдөг,OTHER OTHER HABITUAL
Суралцах явц тасралтгүй хөгждөг,OTHER OTHER OTHER HABITUAL
Хүмүүсийн зан төлөв нийгэмд нөлөөлдөг,OTHER OTHER OTHER OTHER HABITUAL
Бид хамтдаа өсдөг,OTHER OTHER HABITUAL
Цаг хугацаа хурдан өнгөрдөг,OTHER OTHER OTHER HABITUAL
Цаг хугацаа бүхнийг өөрчилдөг,OTHER OTHER OTHER HABITUAL
Хүмүүсийн зан төлөв нийгэмд нөлөөлдөг,OTHER OTHER OTHER OTHER HABITUAL
Мэдээлэл шийдвэрт нөлөөлдөг,OTHER OTHER HABITUAL
Цаг хугацаа бүхнийг өөрчилдөг,OTHER OTHER OTHER HABITUAL
Тэр хурдан өнгөрдөг,OTHER OTHER HABITUAL
Хүмүүсийн зан төлөв нийгэмд нөлөөлдөг,OTHER OTHER OTHER OTHER HABITUAL
Тэд хамтдаа хөгждөг,OTHER OTHER HABITUAL
Тэд аялал төлөвлөдөг,OTHER OTHER HABITUAL
Хүмүүсийн зан төлөв нийгэмд нөлөөлдөг,OTHER OTHER OTHER OTHER HABITUAL
Мэдээлэл шийдвэрт нөлөөлдөг,OTHER OTHER HABITUAL
Тэр бүхнийг өөрчилдөг,OTHER OTHER HABITUAL
Цаг хугацаа бүхнийг өөрчилдөг,OTHER OTHER OTHER HABITUAL
Мэдээлэл шийдвэрт нөлөөлдөг,OTHER OTHER HABITUAL
Бид хамтдаа өсдөг,OTHER OTHER HABITUAL
Тэд аялал төлөвлөдөг,OTHER OTHER HABITUAL
Би тэмдэглэл хөтөлдөг,OTHER OTHER HABITUAL
Боловсрол нийгмийг өөрчилдөг,OTHER OTHER HABITUAL
Нийгэм тогтвортой хөгждөг,OTHER OTHER HABITUAL
Би тэмдэглэл хөтөлдөг,OTHER OTHER HABITUAL
Хүмүүсийн зан төлөв нийгэмд нөлөөлдөг,OTHER OTHER OTHER OTHER HABITUAL
Хүмүүсийн зан төлөв нийгэмд нөлөөлдөг,OTHER OTHER OTHER OTHER HABITUAL
Суралцах явц тасралтгүй хөгждөг,OTHER OTHER OTHER HABITUAL
Тэд аялал төлөвлөдөг,OTHER OTHER HABITUAL
Цаг хугацаа бүхнийг өөрчилдөг,OTHER OTHER OTHER HABITUAL
Бид хамтдаа өсдөг,OTHER OTHER HABITUAL
Мэдээлэл шийдвэрт нөлөөлдөг,OTHER OTHER HABITUAL
Мэдээлэл шийдвэрт нөлөөлдөг,OTHER OTHER HABITUAL
Бид хамтдаа хөгждөг,OTHER OTHER HABITUAL
Тэд аялалд явна,OTHER OTHER FUTURE
Тэр хот руу явна,OTHER OTHER OTHER FUTURE
Тэд удахгүй уулзана,OTHER OTHER FUTURE
Би шинэ боломж ашиглана,OTHER OTHER OTHER FUTURE
Би шинэ боломж хайна,OTHER OTHER OTHER FUTURE
Тэрийг сольж байрлуулна,OTHER OTHER FUTURE
Шинэ санаа гаргана,OTHER OTHER FUTURE
Тэд аялалд явна,OTHER OTHER FUTURE
Тэр ажлаа дуусгана,OTHER OTHER FUTURE
Тэд хотод ажиллана,OTHER OTHER FUTURE
Бид хамт ялна,OTHER OTHER FUTURE
Одоо жинхэнэ судалгааны үр дүнгээ багийнхантайгаа хуваалцана,OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Би шинэ ур чадвар сурна,OTHER OTHER OTHER OTHER FUTURE
Тэр ажлаа сайн суралцана,OTHER OTHER OTHER FUTURE
Тэр хот руу явна,OTHER OTHER OTHER FUTURE
Тэд аялалд явна,OTHER OTHER FUTURE
Инээдэгийг эр дагана,OTHER OTHER FUTURE
Тэр илтгэл тавина,OTHER OTHER FUTURE
Тэд тэмцээнд ялна,OTHER OTHER FUTURE
Тэр нэг дов толгой дээр гарна,OTHER OTHER OTHER OTHER OTHER FUTURE
Тэр хот руу явна,OTHER OTHER OTHER FUTURE
Инээдэгийг эр дагана,OTHER OTHER FUTURE
Тэд аялалд явна,OTHER OTHER FUTURE
Би шинэ зүйл сурна,OTHER OTHER OTHER FUTURE
Тэр сайн суралцана,OTHER OTHER FUTURE
Монголчуудын хэл сурна,OTHER OTHER FUTURE
Бид хамтдаа ялна,OTHER OTHER FUTURE
Надтай хамт сурна,OTHER OTHER FUTURE
Тэд хамтдаа хичээл дээр гарна,OTHER OTHER OTHER OTHER FUTURE
Бид зорилго тавина,OTHER OTHER FUTURE
Бид зорилго тавина,OTHER OTHER FUTURE
Бид зорилго тавина,OTHER OTHER FUTURE
Би өглөө эрт унтана,OTHER OTHER OTHER FUTURE
Тэр их согтууруулах зүйлс ууна,OTHER OTHER OTHER OTHER FUTURE
Тэр хот руу явна,OTHER OTHER OTHER FUTURE
Гэвч iss хөгширч байна,OTHER OTHER OTHER FUTURE
Тэд тэмцээнд ялна,OTHER OTHER FUTURE
Тэр шийдвэр гаргана,OTHER OTHER FUTURE
Багийн ажиллагаа үр дүнгээ багийнхантайгаа хуваалцана,OTHER OTHER OTHER OTHER OTHER FUTURE
Бид хамт сурна,OTHER OTHER FUTURE
Би ном бичнэ,OTHER OTHER FUTURE
Тэд зорилгодоо хүрнэ,OTHER OTHER FUTURE
Баг амжилт бүтээнэ,OTHER OTHER FUTURE
Би дасгалаа хийнэ,OTHER OTHER FUTURE
Бид удахгүй эхэлнэ,OTHER OTHER FUTURE
Би шинэ төсөл эхлүүлнэ,OTHER OTHER OTHER FUTURE
Би орой кино үзнэ,OTHER OTHER OTHER FUTURE
Тэр ажлаа эхлүүлнэ,OTHER OTHER FUTURE
Би шинэ төсөл эхлүүлнэ,OTHER OTHER OTHER FUTURE
Тэр ном бичнэ,OTHER OTHER FUTURE
Тэр баг бүрдүүлнэ,OTHER OTHER FUTURE
Би орой кино үзнэ,OTHER OTHER OTHER FUTURE
Тэд кино үзнэ,OTHER OTHER FUTURE
Би өглөө ном бичнэ,OTHER OTHER OTHER FUTURE
Би өөдөөс гүйнэ,OTHER OTHER FUTURE
Тэд шинэ төсөл эхлүүлнэ,OTHER OTHER OTHER FUTURE
Бид хамтын ажиллагаагаа өргөжүүлнэ,OTHER OTHER OTHER FUTURE
Бид хамтын ажиллагаагаа өргөжүүлнэ,OTHER OTHER OTHER FUTURE
Бид баг бүрдүүлнэ,OTHER OTHER FUTURE
Тэр баг бүрдүүлнэ,OTHER OTHER FUTURE
Би өчигдөр ном бичнэ,OTHER OTHER OTHER FUTURE
Тэдний гэр орноо цэгцэлнэ,OTHER OTHER OTHER FUTURE
Бид удахгүй эхэлнэ,OTHER OTHER FUTURE
Би шинэ ур чадвар эзэмшинэ,OTHER OTHER OTHER OTHER FUTURE
Бид амжилтад хүрнэ,OTHER OTHER FUTURE
Би шинэ төсөл эхлүүлнэ,OTHER OTHER OTHER FUTURE
Тэр амжилт бүтээнэ,OTHER OTHER FUTURE
Тэд хоол хийнэ,OTHER OTHER FUTURE
Бүүдэн сарны нулимс чив чимээгүй мэлмэрнэ,OTHER OTHER OTHER OTHER OTHER FUTURE
Би өөдөөс гүйнэ,OTHER OTHER FUTURE
Би шинэ төсөл эхлүүлнэ,OTHER OTHER OTHER FUTURE
Тэр шинэ ном бичнэ,OTHER OTHER OTHER FUTURE
Дагуулаад ирэхдээ ирнэ,OTHER OTHER FUTURE
Би дасгалаа хийнэ,OTHER OTHER FUTURE
Тэр баг бүрдүүлнэ,OTHER OTHER FUTURE
Бүгээн морьтой өвгөн салхи сөрөн гэлдэрнэ,OTHER OTHER OTHER OTHER OTHER FUTURE
Сургалт хүний ирээдүйд итгэнэ,OTHER OTHER OTHER FUTURE
"Даалгавруудаа дуусгаад, оройн уулзалтдаа бэлдэнэ",OTHER OTHER OTHER OTHER FUTURE
Би өгүүлбэр бүтээнэ,OTHER OTHER FUTURE
Дагуулаад ирэхдээ ирнэ,OTHER OTHER FUTURE
Хүмүүс өглөө эрт босно,OTHER OTHER OTHER FUTURE
Тэр шинэ найзтай болно,OTHER OTHER OTHER FUTURE
